TAXES - 2023,,,,,,
,,,,,,
Item,Suppliers,Expenses-2023,Claim (%),Total - Claim 2023,Total - Claimed 2019,
A,Interest on Mortgage - Scotia Bank,"$37,829.75",100.00%,"$37,829.75",#REF!,
B,Municipal Tax,"$5,123.06",100.00%,"$5,123.06",#REF!,
C,School-Tax,$644.83,100.00%,$644.83,#REF!,
D,Building Insurance,"$1,632.32",100.00%,"$1,632.32",#REF!,
E,Gas ENERGiR,"$2,654.73",100.00%,"$2,654.73",#REF!,
F,Hydro Quebec -building,"$1,077.03",100.00%,"$1,077.03",#REF!,
G,Hydro Solution (lease of 2x water tanks),$388.05,100.00%,$388.05,#REF!,
H,Virgin internet (12 months),$689.88,100.00%,$689.88,#REF!,
I,OPERATING EXPENSES,,,,#REF!,Description
1,"Mélanie Chaperon, avocate Inc.","$3,048.68",100%,"$3,048.68",,Consultations to resolve case with the TAL
2,PLOMBERIE SF,$354.89,100%,$354.89,,Repair of toilet seat leaking: 6825 Somerled
3,SPEC TARGET 9418-4645 Quebec inc.,"$1,839.60",100%,"$1,839.60",,Update Washer & Dryer braker: 6827 Somerled
4,Toit à Toit Entretien Inc.,$316.18,100%,$316.18,,Roof cleaning before winter
5,Mack's Repair,$195.83,100%,$195.83,,"Tune-up, lawn mower"
6,BORENSTEIN Plumbing and Heating Inc.,$574.88,100%,$574.88,,Unblocked the kitchen drain: 6827 Somerled
7,"Best Buy, stokes",$714.71,100%,$714.71,," Kitchen Items , Airfryer and Ninia cooker for 6829 Somerled - since oven is not functional"
8,Corbeil Électroménagers,"$1,150.00",100%,"$1,150.00",,Purchase of a Washer & Dryer and transfer of ownership to Tenant (contract obligation)
9,"OLIVER(Snow Removal, Grass)","$1,080.00",100%,"$1,080.00",,"Snow Removal, grass maintenance"
10,IKEA,$91.38,100%,$91.38,,Kitchen accessories for 6829 Somerled
11,IKEA,$119.58,100%,$119.58,,Counter replacement - relocation of sink due to plumbing issue - 6827 Somerled
12,Operating Expenses ,"$3,392.75",100%,"2,298.82",,"Paint, Smoke detectors, lock and material for small repairs"
13,Kijiji,$97.67,100%,$97.67,,Promote listing online
14,SabbaticalHomes.com,$80.00,100%,$80.00,,Promote listing online
15,Clotures Centrales,"$2,299.50",100%,"$2,299.50",,Fence facade
16,Advertisements for rentals,$29.89,100%,28.89,,FB advertisement
17,Payment to tenant,$500.00,100%,$500.00,,paid 500$ to tenant for the work he did in 6827
18,Bank Fee,$214.00,100%,$214.00,,TD VISA FEE
19,SAFEWAY PARKING CANADA,$21.00,100%,$21.00,,"parking , court"
20,HR Block Fees,$620.84,100%,$620.84,,
,,,,,,
,TOTAL-EXPENSES (2023),"$66,781.03",,"$65,686.10",,
,,,,,,
,,,,,,
# App,Rent,#Month,Total Income 2023,,,
6827," ($1,283 x 6 months)+ ($1,335 x 6 months)",12,"$15,708.00",,,
6825,($1847 * 6 months ) + ($1924 *6 months),12,"$22,626.00",,,
6829 (1ère section),$750.00,6,,,,
6829,($952 * 6 months) + ($999 * 6 months) ,12,"$11,706.00",,,
,,,,,,
,TOTAL-INCOME (2023),,"$50,040.00",,,
,,,,,,
,,,,,,
,OPERATING MARGIN (FOR TAXES),,,,,
, TOTAL INCOME,"$50,040.00",,,,
,TOTAL EXPENSES (IN%),"-$65,686.10",,,,
,PROFIT/LOSS,"-$15,646.10",,,,
,,,,,,
,OPERATING MARGIN (FOR REAL),,,,,
, TOTAL INCOME,"$64,860.00",,,,
,TOTAL EXPENSES (IN%),"-$65,686.10",,,,
,PROFIT/LOSS,-$826.09,,,,
