TAXES - 2024,,,,,,,,,,,,,
,,,,,,,87.5,,,,,,
Item,Suppliers,Expenses-2024,Claim (%),Total - Claim 2024,Total - Claimed 2019,,,,,,,,
A,Interest on Mortgage - Scotia Bank,"$36,843.99",87.50%,"$32,238.49",#REF!,,,,,,,,
B,Municipal Tax,"$5,399.75",87.50%,"$4,724.78",#REF!,,,,,,,,
C,School-Tax,$685.07,87.50%,$599.43,#REF!,,,,,,,,
D,Building Insurance,"$1,835.44",87.50%,"$1,606.01",#REF!,,,,,,,,
E,Gas ENERGiR,"$2,482.75",87.50%,"$2,172.41",#REF!,,,,,,,,
F,Hydro Quebec -building,$984.90,100.00%,$984.90,#REF!,,,,,,,,
G,Hydro Solution (lease of 2x water tanks),$398.40,87.50%,$348.60,#REF!,,,,,,,,
H,Virgin internet (12 months)-Included in Lease,$689.88,100.00%,$689.88,#REF!,,,,,,,,
I,OPERATING EXPENSES,,,,#REF!,Description,,,,,,,
a,"OLIVERT (Snow Removal, Grass)","$1,187.84",87.50%,"$1,039.36",,Snow removal and Grass Maintenance for the building,,,,,,,
b,Mapple Leaf Appliance Repair,$753.53,87.50%,659.34,,Repair of the laundry machine used by 6829 Somerled,,,,,,,
c,Advertisements for rentals (Facebook & Kijiji),$260.70,100.00%,$260.70,,Transactions,,,,,,,
d,"Melanie Chaperon, avocate Inc.",$137.97,100.00%,$137.97,,Legal fees / Consultation - Plex,,,,,,,
e,Home Depot,$622.53,87.50%,$544.71,,Carpet for the building staicase (common area),,,,,,,
f,UHAUL,$80.88,87.50%,$70.77,,Rental to transport a closet for 6827 Somerled,,,,,,,
g,Home Depot,$336.83,87.50%,$294.73,,Kitchen sink replacement for 6827 Somerled,,,,,,,
h,Home Depot,$108.61,87.50%,$95.03,,Bulbs and filters for 6827 Somerled,,,,,,,
i,Home Depot,$135.67,87.50%,$118.71,,Toilet seat replacement for 6825 Somerled,,,,,,,
j,Home Depot,$179.73,87.50%,$157.26,,Steel rods to repair balcony of 6827 Somerled,,,,,,,
k,Home Depot,$291.84,87.50%,$255.36,,Lock and plumbing accessories for appartments,,,,,,,
s,Home Depot,$622.53,87.50%,$544.71,,Paint for appartments,,,,,,,
l,Reno Depot,$247.64,87.50%,$216.69,,"Material for maintenance (dryer, plumbing)",,,,,,,
m,Lawyer Bill,$230.00,87.50%,$201.25,,Legal fees / Consultation - Plex,,,,,,,
n,Quicaillerie Notre Dame,$74.72,87.50%,$65.38,,Hood Ranger filters for 6827 Somerled,,,,,,,
o,Marche Henri,$66.50,87.50%,$58.19,,Topsoil for backyard (spring maintenance),,,,,,,
p,Reno Depot,$104.61,87.50%,$91.53,,Kitchen cabinets handles,,,,,,,
q,Reno Depot,$321.32,87.50%,$281.16,,Paint for appartments,,,,,,,
r,Amazon Canada,$89.09,87.50%,$77.95,,Door Bell,,,,,,,
v,IKEA Canada,$428.98,87.50%,$375.36,,Kitchen materials expenses for Kitchen renovation,,,,,,,
w,Couche Tard,$74.91,87.50%,$65.55,,Gas bills for car #1257,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,TOTAL-EXPENSES (2024),"$55,676.61",,"$48,976.21",,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
# App,Rent,#Month,Total Income 2024,,,,,,,,,,
6827," ($1,335x 4 months)+ ($370.50)
May and June total owed 2670$ subtract amount from Tal decision $2,299.50",12,"$5,710.5",,,,,,,,,,
6825,"($1934 x 6 months) + ($1,977 x 6 months)",12,"$23,466.00",,,,,,,,,,
6829 (1ère section),$750.00,6,,,,,,,,,,,
6829,"($999 x 6 months) + ($1,021 x 6 months)",12,"$12,120.00",,,,,,,,,,
,,,,,,,,,,,,,
,TOTAL-INCOME (2024),,"$41,296.5",,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,OPERATING MARGIN (FOR TAXES),,,,,,,,,,,,
, TOTAL INCOME,"$41,296.5",,,,,,,,,,,
,TOTAL EXPENSES (IN%),"-$48,976.21",,,,,,,,,,,
,PROFIT/LOSS,"-$7,679.7",,,,,,,,,,,
,,,,,,,,,,,,,
,OPERATING MARGIN (FOR REAL),,,,,,,,,,,,
, TOTAL INCOME,"$61,914.00",,,,,,,,,,,
,TOTAL EXPENSES (IN%),"-$48,976.21",,,,,,,,,,,
,PROFIT/LOSS,"$12,937.79",,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Rents 2024,,,,,,,,,,,,,
Month,January,February,March,April,May,June,July,August,September,October,November,December,Total 2024
6825,"$1,934.00","$1,934.00","$1,934.00","$1,934.00","$1,934.00","$1,934.00","$1,977.00","$1,977.00","$1,977.00","$1,977.00","$1,977.00","$1,977.00","$23,466.00"
6827,"$1,335.00","$1,335.00","$1,335.00","$1,335.00",$370.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$5,710.50"
6829 (phase I),$0.00,"$1,335.00","$1,335.00","$1,335.00","$1,335.00","$1,335.00","$1,335.00",$592.50,"$1,335.00","$1,335.00","$1,335.00","$1,335.00","$13,942.50"
6829 (phase II),$999.00,$999.00,$999.00,$999.00,$999.00,$999.00,"$1,021.00","$1,021.00","$1,021.00","$1,021.00","$1,021.00","$1,021.00","$12,120.00"
Percial,,,,,,,,"$1,335.00","$1,335.00","$1,335.00","$1,335.00","$1,335.00","$6,675.00"
