,,,,,,,,,,,
,Somerled Building,,,,,,,,,,
,,,,,,,,Intrest rate: 5.3,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Monthly Budget,,,,,,,,Starting balance: ,,$0.00
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,Increase in total savings,,,
,,,,,,,,-$501.00,,,
,,,START BALANCE , END BALANCE,,,,INCOME LEFT,,,
,,,$0.00,$446.00,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Expenses,,,,,,Income,,,,
,Planned,"$4,801.00",,,,,Planned,"$4,300.00",,,
,Actual,"$4,854.00",,,,,Actual,"$5,300.00",,,
,,,,,,,,,,,
,Expenses,,,,,,Income,,,,
,,,Planned,Actual,Diff.,,,,Planned,Actual,Diff.
,Totals,,"$4,801.00","$4,854.00",-$53.00,,Totals,,"$4,300.00","$5,300.00","$1,000.00"
,,,,,,,,,,,
,Mortgage,," $ 3,750.00 "," $ 3,750.00 ",$0.00,,APP6825,,"$2,100.00","$2,100.00",$0.00
,Municipal taxes,, $ 500.00 , $ 550.00 ,-$50.00,,APP 6827,,$0.00,$0.00,$0.00
,Electricity,, $ 90.00 , $ 90.00 ,$0.00,,6829-A,,"$1,200.00","$1,200.00",$0.00
,Heating,, $ 100.00 , $ 100.00 ,$0.00,,6829-B,,"$1,000.00","$1,000.00",$0.00
,Water heaters,, $ 31.00 , $ 31.00 ,$0.00,,Other,,$0.00,$0.00,$0.00
,Oliver,, $ 100.00 , $ 103.00 ,-$3.00,,Custom category ,,$0.00,$0.00,$0.00
,Insurance,, $ 120.00 , $ 120.00 ,$0.00,,215-A,,$0.00,"$1,000.00","$1,000.00"
,Internet,, $ 110.00 , $ 110.00 ,$0.00,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Notes: 100$ is percival insurance passing by somerled TD,,,,$0.00,,,,,,
